Language,mean_exec_time,median_exec_time,mean_memory,median_memory,count
TEXT,0.003333333333333333,0.0,5.2,5.2,27
WHITESPACE,0.006666666666666667,0.01,5.2,5.2,6
RUBY,0.013333333333333332,0.01,7.855555555555556,7.8,9
PHP,0.03,0.03,25.0,25.0,1
JS-MONKEY,0.03666666666666667,0.04,16.0,16.0,3
C,0.043611111111111114,0.015,5.222222222222222,5.2,36
BF,0.04372093023255814,0.01,5.195348837209303,5.2,43
PYTHON,0.05090909090909091,0.02,12.79090909090909,7.1,11
PYPY,0.06142857142857143,0.04,71.42857142857143,61.0,7
C++4.3.2,0.062380952380952384,0.01,5.261904761904762,5.2,42
PAS-FPC,0.08,0.08,5.2,5.2,1
GO,0.08666666666666667,0.0,6.166666666666667,5.2,3
RUST,0.09,0.09,12.0,12.0,1
CPP,0.13554545454545455,0.03,12.828636363636365,5.2,220
CPP14,0.18702508960573475,0.03,11.265878136200717,5.2,1395
NCSHARP,0.2066666666666667,0.17,43.333333333333336,46.0,3
PYPY3,0.22737704918032786,0.09,65.72950819672131,58.0,122
R,0.24,0.24,47.0,47.0,1
CPP14-CLANG,0.2959375,0.08,16.4046875,5.2,64
JS-RHINO,0.3985714285714286,0.39,41.42857142857143,43.0,7
PYTHON3,0.4505747126436782,0.17,21.93477011494253,14.0,348
PY_NBC,0.45499999999999996,0.19,35.03,19.0,10
JAVA,0.4835265700483092,0.3,76.51690821256038,60.0,207
ELIXIR,0.84,0.84,64.0,64.0,1
KTLN,0.9483333333333333,0.5,51.0,46.0,6
COBOL,1.23,1.23,5.2,5.2,1
