Username,Problems_Solved,World_Rank,Solved_Classical_Count,Solved_Challenge_Count,Solved_Tutorial_Count,Solved_Partial_Count,Solved_Other_Count,Language,Level,Cluster
a23r11a6710,8,66593.0,10,0,0,0,0,1,beginner,1
a93951230,0,127638.0,1,0,0,0,0,1,beginner,0
a_pendov,14,32587.0,15,0,0,0,0,1,beginner,1
a_simple_soul,1,127638.0,1,0,0,0,0,1,beginner,0
aa_761028,5,55832.0,7,0,0,0,0,1,beginner,1
aagupta5325,8,84358.0,9,0,0,0,0,1,beginner,0
abanoubsamy_1,8,66593.0,9,0,0,0,0,1,beginner,1
abdel3al,2,127639.0,2,0,0,0,0,1,beginner,0
abdogad,3,17990.0,7,0,0,0,0,1,beginner,1
abdulazizhany,12,43315.0,12,0,0,0,0,1,beginner,1
abhay5055,8,66593.0,8,0,0,0,0,1,beginner,1
abhishek529,8,127639.0,10,0,0,0,0,1,beginner,0
abnelsayed,1,127639.0,2,0,0,0,0,2,beginner,0
abo_wahbaz,52,13267.0,58,0,0,0,0,1,intermediate,1
abrar0786,250,6484.0,336,0,0,0,0,4,advanced,1
ac_automation,59,2577.0,63,0,0,0,0,1,intermediate,1
achyuta22,1,127639.0,1,0,0,0,0,1,beginner,0
ackinglj,846,17.0,1072,0,0,0,0,3,advanced,2
acssen,50,8085.0,57,0,0,0,0,1,intermediate,1
ad_34567,21,5527.0,37,0,0,0,0,2,intermediate,1
adarshauz67ek,283,2326.0,336,0,0,0,0,1,advanced,1
adelhefny,28,20760.0,29,0,0,0,0,1,beginner,1
adham_101,10,48649.0,11,0,0,0,0,1,beginner,1
adibsyam,1,29982.0,2,0,0,0,0,2,beginner,1
admin123123,2,127639.0,2,0,0,0,0,2,beginner,0
adsingh123,7,48649.0,8,0,0,0,0,1,beginner,1
ahmed88,13,55832.0,15,0,0,0,0,1,beginner,1
ahmed_bahy,44,14174.0,48,0,0,0,0,1,beginner,1
ahmed_sakib123,7,127639.0,9,0,0,0,0,2,beginner,0
ahnaf_063,3,127639.0,21,0,0,0,0,1,beginner,0
aigeniusg0ukr,95,305.0,465,0,0,0,0,1,advanced,1
ainetbmmtf5c7,98,306.0,480,0,0,0,0,1,advanced,1
aishwarya2712,2,127639.0,3,0,0,0,0,1,beginner,0
akash251224,1,127639.0,1,0,0,0,0,1,beginner,0
akkisinghvi28,3,84358.0,3,0,0,0,0,1,beginner,0
akosh,1,127639.0,7,0,0,0,0,1,beginner,0
aksharak1,0,127639.0,1,0,0,0,0,1,beginner,0
akshay_513,20,66593.0,59,0,0,0,0,1,beginner,1
akshaya9806,11,127639.0,24,0,0,0,0,1,beginner,0
akshaya_r,10,55832.0,15,0,0,0,0,1,beginner,1
akshayshil_19,35,27845.0,40,0,0,0,0,1,beginner,1
akshitha_69,4,127639.0,10,0,0,0,0,1,beginner,0
akshitha_b6,1,127639.0,2,0,0,0,0,1,beginner,0
akuba,3,84358.0,3,0,0,0,0,1,beginner,0
ale_shio31547,35,14728.0,35,0,0,0,0,1,beginner,1
alexsense1,8,21865.0,8,0,0,0,0,1,beginner,1
alman,2,43315.0,8,0,0,0,0,1,beginner,1
alvin0603,0,127639.0,1,0,0,0,0,1,beginner,0
ammahmed004,25,12854.0,31,0,0,0,0,1,beginner,1
amreenshaik01,16,84358.0,30,0,0,0,0,1,beginner,0
anastasiskolio,5,55832.0,5,0,0,0,0,1,beginner,1
anish5656,6,127639.0,7,0,0,0,0,1,beginner,0
anjith_5,53,43315.0,83,0,0,0,0,2,intermediate,1
ansh8226,6,43315.0,6,0,0,0,0,1,beginner,1
anubhav448,60,6484.0,67,0,0,0,0,1,intermediate,1
apierri,16,35453.0,17,0,0,0,0,1,beginner,1
apoorv_1345,6,84359.0,6,0,0,0,0,1,beginner,0
aquele_b0t,62,7593.0,67,0,0,0,0,1,intermediate,1
aravind2202,2,84359.0,2,0,0,0,0,1,beginner,0
aravind6301,4,127640.0,6,0,0,0,0,2,beginner,0
archiv9prince,2,127640.0,2,0,0,0,0,2,beginner,0
arifa_iffat,100,4961.0,132,0,0,0,0,1,intermediate,1
arin_v_r,1,127640.0,1,0,0,0,0,1,beginner,0
arkarphyo1431,1,127640.0,10,0,0,0,0,1,beginner,0
arman_singh_,13,55833.0,16,0,0,0,0,1,beginner,1
arpit_dwivedi,5,84359.0,9,0,0,0,0,2,beginner,0
arrakis,1222,23.0,1253,0,0,0,0,1,advanced,2
arturrodrigues,1,127640.0,1,0,0,0,0,1,beginner,0
asfghjkjhh_13,1,55833.0,1,0,0,0,0,1,beginner,1
ashraful_toni,100,2068.0,114,0,0,0,0,2,intermediate,1
ashsihs41,0,127640.0,1,0,0,0,0,5,beginner,0
ashwaniv,88,12087.0,91,0,0,0,0,1,intermediate,1
asi098,31,7593.0,33,0,0,0,0,1,intermediate,1
asingh03,2,127640.0,2,0,0,0,0,3,beginner,0
askl1007,9,14174.0,14,0,0,0,0,1,beginner,1
asvaannn,0,127640.0,1,0,0,0,0,1,beginner,0
aswitha24,7,127640.0,11,0,0,0,0,1,beginner,0
axuuuu,17,3044.0,26,0,0,0,0,5,intermediate,1
ayhamzaidd,4,48650.0,4,0,0,0,0,1,beginner,1
ayman_zakaria,1,127640.0,1,0,0,0,0,3,beginner,0
ayushsharma01_,0,127640.0,1,0,0,0,0,1,beginner,0
azesx,301,320.0,301,0,0,0,0,1,advanced,1
b_navya,4,127640.0,6,0,0,0,0,1,beginner,0
bahula_29,11,84359.0,13,0,0,0,0,1,beginner,0
banothramesh,6,127640.0,9,0,0,0,0,1,beginner,0
baraa_sh02,1,127640.0,1,0,0,0,0,2,beginner,0
bbbymz,1,66594.0,1,0,0,0,0,1,beginner,1
bbi5291,781,65.0,790,0,0,0,0,5,advanced,2
beacon_04125,17,23106.0,17,0,0,0,0,2,beginner,1
